2026-03-20 09:50:47.082 | INFO     | src.utils.db:init_tables:252 | 数据库表初始化完成
2026-03-20 09:50:47.083 | INFO     | __main__:initialize:116 | 数据库初始化成功
2026-03-20 09:50:47.728 | INFO     | src.collectors.price_collector:_init_baostock:41 | Baostock 初始化成功
2026-03-20 09:50:47.992 | INFO     | src.collectors.price_collector:_init_akshare:52 | AkShare 初始化成功
2026-03-20 09:50:47.992 | INFO     | src.collectors.fund_collector:_init_akshare:33 | AkShare 初始化成功
2026-03-20 09:50:47.992 | INFO     | __main__:initialize:122 | 数据采集器初始化成功
2026-03-20 09:50:47.993 | INFO     | __main__:initialize:128 | 分析器初始化成功
2026-03-20 09:50:47.993 | INFO     | __main__:initialize:158 | 决策引擎初始化成功
2026-03-20 09:50:47.993 | INFO     | __main__:initialize:166 | 通知管理器初始化成功
2026-03-20 09:50:47.996 | INFO     | __main__:initialize:170 | 调度器初始化成功
2026-03-20 09:50:47.996 | INFO     | __main__:_load_stock_pool:182 | 正在加载股票池...
2026-03-20 09:50:47.996 | INFO     | __main__:_load_stock_pool:214 | 股票池加载完成，共 3 只股票
2026-03-20 09:50:47.996 | INFO     | __main__:initialize:176 | ==================================================
2026-03-20 09:50:47.996 | INFO     | __main__:initialize:177 | A 股监控系统初始化完成
2026-03-20 09:50:47.996 | INFO     | __main__:initialize:178 | ==================================================
2026-03-20 09:50:47.996 | INFO     | __main__:start:418 | 启动监控系统...
2026-03-20 09:50:48.000 | INFO     | __main__:run_once:219 | 开始执行监控任务 - 2026-03-20 09:50:48
2026-03-20 09:50:50.133 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 09:50:50.133 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 09:50:50.762 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 09:50:51.507 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 09:50:51.507 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 09:50:53.830 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 09:50:53.831 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 09:50:54.089 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 09:50:54.250 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 09:50:54.251 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 09:50:55.791 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 09:50:55.792 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 09:50:56.041 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 09:50:56.207 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 09:50:56.207 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 09:50:56.212 | INFO     | __main__:run_once:257 | 监控任务执行完成，耗时 8.2 秒
2026-03-20 09:55:48.002 | INFO     | __main__:run_once:219 | 开始执行监控任务 - 2026-03-20 09:55:48
2026-03-20 09:55:49.672 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 09:55:49.673 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 09:55:50.138 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 09:55:50.592 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 09:55:50.593 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 09:55:51.501 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 09:55:51.501 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 09:55:51.816 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 09:55:51.978 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 09:55:51.978 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 09:55:53.987 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 09:55:53.987 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 09:55:54.349 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 09:55:54.500 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 09:55:54.500 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 09:55:54.515 | INFO     | __main__:run_once:257 | 监控任务执行完成，耗时 6.5 秒
2026-03-20 10:00:48.001 | INFO     | __main__:run_once:219 | 开始执行监控任务 - 2026-03-20 10:00:48
2026-03-20 10:00:50.799 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 10:00:50.799 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 10:00:51.309 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 10:00:51.811 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 10:00:51.812 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 10:00:53.959 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 10:00:53.959 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 10:00:54.299 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 10:00:54.455 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 10:00:54.455 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 10:00:56.786 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 10:00:56.786 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 10:00:57.126 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 10:00:57.285 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 10:00:57.285 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 10:00:57.293 | INFO     | __main__:run_once:257 | 监控任务执行完成，耗时 9.3 秒
2026-03-20 10:05:48.006 | INFO     | __main__:run_once:219 | 开始执行监控任务 - 2026-03-20 10:05:48
2026-03-20 10:05:49.596 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 10:05:49.596 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 10:05:50.280 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 10:05:50.740 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 10:05:50.741 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
2026-03-20 10:05:52.878 | WARNING  | src.collectors.news_collector:collect:128 | 东方财富 API 返回状态码：404
2026-03-20 10:05:52.878 | INFO     | src.collectors.news_collector:collect:412 | 从 eastmoney 采集 0 条新闻
2026-03-20 10:05:53.201 | INFO     | src.collectors.news_collector:collect:412 | 从 sina 采集 0 条新闻
2026-03-20 10:05:53.381 | INFO     | src.collectors.news_collector:collect:412 | 从 cailian 采集 0 条新闻
2026-03-20 10:05:53.381 | INFO     | src.collectors.news_collector:collect:425 | 采集完成，共 0 条唯一新闻
